gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,id_student,address,Year,Age
Male,group E,associate's degree,standard,none,98,81,77,1039,,2023,15.0
Female,group B,master's degree,free/reduced,none,54,75,72,1040,,2023,15.0
Male,group D,high school,standard,none,77,67,64,1041,,2023,16.0
Male,group E,high school,standard,completed,87,79,100,1042,,2023,16.0
Female,group C,master's degree,standard,none,58,70,70,1043,,2023,16.0
Male,group E,high school,standard,none,100,88,100,1044,,2023,16.0
Male,group C,bachelor's degree,standard,none,60,46,51,1045,,2023,15.0
Male,group C,associate's degree,free/reduced,none,64,63,57,1046,,2023,14.0
Female,group E,some high school,standard,completed,65,76,78,1047,,2023,17.0
Female,group D,high school,standard,none,68,72,73,1048,,2023,15.0
Male,group C,associate's degree,free/reduced,completed,60,63,57,1049,,2023,14.0
Male,group D,high school,standard,none,65,68,64,1050,,1990,17.0
Female,group C,some high school,free/reduced,none,52,29,60,1051,,2023,15.0
Female,group C,associate's degree,standard,none,74,81,100,1052,,2023,
Female,group C,high school,free/reduced,none,36,53,49,1053,,2023,14.0
Male,group D,high school,free/reduced,none,57,57,47,1054,,2023,14.0
Female,group C,some college,standard,completed,56,60,62,1055,,1990,14.0
Female,group C,bachelor's degree,standard,completed,67,80,100,1056,,2023,17.0
Male,group D,associate's degree,standard,completed,88,87,100,1057,,2023,14.0
Female,group D,some college,free/reduced,none,42,61,51,1058,,2023,15.0
Male,group E,some high school,standard,none,68,25,48,1059,,2023,15.0
Male,group D,some college,free/reduced,none,76,66,68,1060,,2023,14.0
Female,group E,some high school,standard,none,58,31,59,1061,,2023,15.0
Male,group E,some high school,standard,completed,69,67,62,1062,,1990,16.0
Male,group A,bachelor's degree,standard,completed,77,82,78,1063,,2023,16.0
Male,group D,master's degree,standard,completed,83,93,100,1064,,2023,17.0
Female,group C,some high school,free/reduced,completed,49,74,70,1065,,1990,14.0
Male,group C,high school,standard,none,71,60,56,1066,,2023,
Female,group D,some high school,free/reduced,none,47,23,49,1067,,2023,14.0
Male,group B,high school,standard,none,79,64,60,1068,,2023,
Female,group C,high school,standard,none,60,64,57,1069,,2023,14.0
Female,group C,associate's degree,standard,completed,56,68,73,1070,,1990,15.0
Male,group C,associate's degree,standard,none,57,52,47,1071,,2023,14.0
Female,group B,some college,standard,none,49,70,63,1072,,2023,15.0
Female,group C,some high school,standard,completed,79,76,100,1073,,2023,17.0
Male,group B,master's degree,free/reduced,none,71,76,67,1074,,2023,15.0
Female,group C,high school,standard,none,71,77,70,1075,,2023,
Female,group C,some college,standard,none,47,63,59,1076,,2023,15.0
Female,group D,high school,free/reduced,none,72,91,100,1077,,2023,16.0
Male,group C,associate's degree,standard,none,78,73,76,1078,,2023,16.0
Male,group D,some high school,standard,none,54,21,45,1079,,2023,16.0
Female,group B,bachelor's degree,standard,none,46,59,62,1080,,2023,16.0
Female,group D,some high school,free/reduced,none,31,19,42,1081,,2023,16.0
Female,group C,associate's degree,free/reduced,none,51,59,59,1082,,2023,15.0
Male,group B,high school,standard,completed,78,76,73,1083,,2023,17.0
Female,group B,associate's degree,free/reduced,none,32,41,39,1084,,2023,14.0
Female,group C,some high school,standard,none,53,35,69,1085,,1990,14.0
Female,group C,some college,free/reduced,none,63,76,69,1086,,2023,16.0
Male,group D,some college,standard,none,97,93,100,1087,,2023,17.0
Female,group D,some college,standard,none,56,52,61,1088,,2023,15.0
Male,group B,high school,standard,none,72,76,72,1089,,1990,16.0
Male,group C,some college,free/reduced,none,57,47,42,1090,,2023,16.0
Male,group B,some high school,standard,none,74,35,70,1091,,2023,14.0
Female,group D,master's degree,standard,none,81,81,100,1092,,1990,17.0
Male,group D,bachelor's degree,standard,completed,94,87,100,1093,,2023,14.0
Male,group B,master's degree,free/reduced,none,81,73,72,1094,,2023,16.0
Female,group C,high school,standard,completed,58,63,67,1095,,2023,16.0
Female,group E,associate's degree,standard,completed,95,100,100,1096,,2023,17.0
Male,group B,high school,free/reduced,none,45,52,49,1097,,2023,17.0
Male,group A,some college,standard,none,63,50,49,1098,,1990,14.0
Male,group B,associate's degree,standard,none,60,54,53,1099,,2023,15.0
MALE,group C,some college,free/reduced,completed,54,61,62,1100,,2023,17.0
MALE,group C,some college,standard,completed,75,78,79,1101,,2023,16.0
MALE,group E,high school,standard,none,79,78,77,1102,,2023,17.0
MALE,group D,high school,standard,none,66,67,67,1103,,2023,17.0
FEMALE,group B,some college,standard,none,47,58,58,1104,,2023,17.0
FEMALE,group D,bachelor's degree,standard,none,70,78,100,1105,,2023,17.0
MALE,group D,high school,standard,none,82,74,73,1106,,2023,17.0
MALE,group A,bachelor's degree,standard,none,56,38,44,1107,,2023,17.0
MALE,group B,associate's degree,standard,none,92,78,71,1108,,2023,15.0
MALE,group C,some college,free/reduced,none,30,33,33,1109,,2023,17.0
FEMALE,group C,some college,standard,completed,79,88,100,1110,,2023,14.0
FEMALE,group D,some high school,standard,none,41,26,47,1111,,2023,15.0
FEMALE,group C,master's degree,standard,none,63,82,71,1112,,2023,14.0
MALE,group A,bachelor's degree,free/reduced,none,43,34,33,1113,,2023,15.0
MALE,group D,high school,standard,none,77,76,74,1114,,2023,17.0
MALE,group B,associate's degree,standard,completed,76,79,76,1115,,2023,17.0
FEMALE,group E,some college,free/reduced,none,49,61,63,1116,,2023,14.0
MALE,group C,associate's degree,standard,completed,59,57,55,1117,,2023,16.0
MALE,group B,bachelor's degree,free/reduced,none,59,70,58,1118,,2023,15.0
FEMALE,group D,some high school,standard,completed,76,90,100,1119,,2023,16.0
FEMALE,group C,high school,standard,completed,55,71,71,1120,,2023,14.0
FEMALE,group D,bachelor's degree,standard,completed,78,87,100,1121,,2023,14.0
FEMALE,group C,bachelor's degree,standard,completed,51,53,62,1122,,2023,16.0
FEMALE,group C,some high school,standard,completed,41,43,45,1123,,2023,14.0
FEMALE,group D,associate's degree,standard,none,74,78,100,1124,,2023,
MALE,group C,master's degree,standard,none,62,54,58,1125,,2023,17.0
MALE,group D,associate's degree,standard,none,77,71,64,1126,,1990,16.0
MALE,group C,some high school,standard,none,45,26,45,1127,,2023,16.0
MALE,group E,some college,standard,completed,100,84,100,1128,,2023,15.0
FEMALE,group D,associate's degree,free/reduced,completed,83,95,100,1129,,2023,14.0
FEMALE,group E,associate's degree,free/reduced,completed,77,75,100,1130,,2023,14.0
MALE,group C,high school,standard,completed,66,70,64,1131,,2023,17.0
MALE,group B,some college,standard,none,65,63,57,1132,,2023,15.0
MALE,group D,associate's degree,standard,none,62,55,56,1133,,2023,14.0
MALE,group E,some college,standard,none,55,54,54,1134,,2023,14.0
MALE,group C,some high school,free/reduced,none,73,39,69,1135,,2023,16.0
MALE,group A,some college,standard,completed,73,81,76,1136,,2023,17.0
FEMALE,group B,associate's degree,standard,completed,48,66,68,1137,,2023,17.0
MALE,group D,some college,free/reduced,none,52,44,49,1138,,2023,17.0
FEMALE,group C,some high school,free/reduced,none,60,36,64,1139,,2023,17.0
MALE,group B,associate's degree,free/reduced,none,68,63,57,1140,,2023,16.0
FEMALE,group D,some college,free/reduced,none,65,77,100,1141,,2023,
FEMALE,group D,bachelor's degree,standard,none,86,83,100,1142,,2023,15.0
FEMALE,group B,associate's degree,standard,none,55,62,60,1143,,2023,15.0
MALE,group B,master's degree,standard,completed,80,71,68,1144,,1990,14.0
FEMALE,group B,high school,free/reduced,none,51,57,57,1145,,2023,16.0
FEMALE,group B,some high school,standard,completed,63,61,66,1146,,1990,14.0
MALE,group E,some college,standard,none,60,55,46,1147,,2023,
FEMALE,group E,bachelor's degree,standard,completed,100,100,100,1148,,2023,14.0
MALE,group A,associate's degree,free/reduced,none,46,44,44,1149,,2023,16.0
FEMALE,group C,some college,standard,completed,67,78,80,1150,,2023,15.0
FEMALE,group C,high school,free/reduced,none,54,67,59,1151,,2023,16.0
FEMALE,group B,associate's degree,standard,none,63,79,76,1152,,2023,17.0
MALE,group D,bachelor's degree,standard,none,68,66,73,1153,,2023,17.0
FEMALE,group C,associate's degree,free/reduced,none,54,63,58,1154,,2023,15.0
FEMALE,group C,some college,standard,none,43,44,47,1155,,2023,14.0
MALE,group B,high school,free/reduced,none,64,64,59,1156,,2023,17.0
FEMALE,group E,associate's degree,free/reduced,none,92,87,100,1157,,2023,
FEMALE,group D,associate's degree,free/reduced,none,82,95,100,1158,,2023,16.0
MALE,group E,some high school,free/reduced,none,84,39,79,1159,,2023,15.0
FEMALE,group D,associate's degree,standard,completed,84,98,100,1160,,2023,16.0
MALE,group D,associate's degree,free/reduced,none,65,63,65,1161,,2023,16.0
FEMALE,group C,bachelor's degree,standard,none,83,92,100,1162,,2023,17.0
FEMALE,group B,some high school,standard,completed,70,75,75,1163,,2023,15.0
MALE,group A,bachelor's degree,standard,completed,66,72,70,1164,,2023,15.0
FEMALE,group D,bachelor's degree,standard,completed,71,87,100,1165,,2023,15.0
MALE,group B,bachelor's degree,standard,none,66,64,58,1166,,2023,
FEMALE,group B,some high school,standard,completed,57,64,68,1167,,1990,14.0
FEMALE,group C,master's degree,standard,none,86,90,100,1168,,2023,17.0
FEMALE,group A,high school,standard,none,80,85,100,1169,,2023,
FEMALE,group B,high school,standard,none,62,60,59,1170,,2023,15.0
FEMALE,group D,some college,standard,none,71,71,76,1171,,2023,17.0
FEMALE,group C,some college,free/reduced,completed,57,66,71,1172,,2023,16.0
MALE,group A,some high school,free/reduced,completed,69,64,62,1173,,2023,14.0
MALE,group B,some college,standard,completed,83,74,72,1174,,2023,17.0
FEMALE,group D,some college,free/reduced,none,50,56,60,1175,,2023,16.0
FEMALE,group C,bachelor's degree,standard,none,55,56,56,1176,,2023,14.0
MALE,group B,some high school,free/reduced,none,55,26,51,1177,,2023,14.0
FEMALE,group D,some college,free/reduced,completed,83,93,100,1178,,2023,16.0
MALE,group D,high school,standard,completed,89,87,100,1179,,2023,17.0
FEMALE,group D,some high school,standard,none,51,31,64,1180,,2023,17.0
FEMALE,group C,some college,standard,none,48,52,49,1181,,2023,17.0
FEMALE,group E,bachelor's degree,standard,none,84,95,100,1182,,2023,14.0
FEMALE,group C,associate's degree,standard,none,69,83,76,1183,,2023,15.0
FEMALE,group C,associate's degree,standard,completed,75,85,100,1184,,2023,14.0
FEMALE,group C,master's degree,standard,none,91,100,100,1185,,1990,15.0
MALE,group B,high school,standard,none,76,77,67,1186,,1990,16.0
MALE,group E,some high school,free/reduced,none,63,30,59,1187,,2023,14.0
MALE,group D,high school,standard,none,73,65,64,1188,,2023,14.0
MALE,group B,some high school,free/reduced,completed,52,63,53,1189,,2023,14.0
MALE,group B,some high school,standard,completed,58,57,53,1190,,2023,14.0
FEMALE,group B,some high school,standard,none,33,25,51,1191,,2023,
MALE,group E,some high school,free/reduced,none,68,31,61,1192,,2023,17.0
FEMALE,group C,associate's degree,standard,completed,77,91,100,1193,,2023,17.0
FEMALE,group C,bachelor's degree,standard,none,64,64,66,1194,,2023,16.0
FEMALE,group D,some high school,free/reduced,none,39,24,48,1195,,1990,14.0
MALE,group D,bachelor's degree,standard,none,50,46,48,1196,,2023,16.0
MALE,group A,master's degree,free/reduced,none,53,57,51,1197,,2023,14.0
FEMALE,group B,associate's degree,standard,completed,54,62,70,1198,,2023,14.0
MALE,group D,high school,standard,none,74,63,65,1199,,2023,17.0
FEMALE,group D,associate's degree,standard,completed,50,63,65,1200,,2023,
MALE,group E,associate's degree,standard,none,55,54,47,1201,,2023,16.0
MALE,group C,some college,standard,none,77,64,70,1202,,2023,16.0
FEMALE,group B,some high school,standard,completed,49,64,67,1203,,2023,
FEMALE,group D,associate's degree,free/reduced,none,66,83,100,1204,,2023,17.0
MALE,group B,some high school,standard,completed,77,74,75,1205,,2023,15.0
FEMALE,group A,master's degree,standard,completed,74,78,100,1206,,2023,16.0
MALE,group C,some college,standard,none,85,78,100,1207,,2023,17.0
FEMALE,group A,some college,standard,none,77,86,100,1208,,2023,15.0
FEMALE,group B,associate's degree,standard,none,64,62,66,1209,,2023,15.0
FEMALE,group D,high school,free/reduced,completed,61,69,68,1210,,2023,15.0
MALE,group D,associate's degree,standard,none,97,88,100,1211,,2023,14.0
MALE,group C,some college,standard,completed,66,75,70,1212,,2023,15.0
MALE,group C,some high school,standard,none,62,33,64,1213,,2023,15.0
FEMALE,group E,some high school,standard,completed,64,80,77,1214,,2023,14.0
FEMALE,group B,bachelor's degree,free/reduced,none,55,57,60,1215,,2023,16.0
FEMALE,group B,associate's degree,standard,none,53,72,66,1216,,2023,17.0
FEMALE,group D,some college,free/reduced,none,71,81,77,1217,,2023,
MALE,group B,high school,free/reduced,completed,66,59,68,1218,,2023,17.0
MALE,group C,associate's degree,standard,none,68,61,62,1219,,2023,14.0
MALE,group D,some college,standard,none,89,90,100,1220,,2023,14.0
MALE,group C,associate's degree,standard,completed,65,69,74,1221,,2023,17.0
FEMALE,group B,some high school,standard,none,43,24,44,1222,,1990,14.0
FEMALE,group D,master's degree,standard,none,79,77,100,1223,,2023,
MALE,group D,bachelor's degree,standard,none,99,94,100,1224,,2023,17.0
MALE,group D,some high school,standard,none,82,34,72,1225,,2023,17.0
MALE,group D,some college,free/reduced,completed,35,36,39,1226,,2023,
FEMALE,group D,bachelor's degree,free/reduced,none,61,71,73,1227,,2023,15.0
FEMALE,group D,high school,standard,none,76,80,100,1228,,2023,14.0
MALE,group C,associate's degree,free/reduced,completed,94,83,100,1229,,2023,
FEMALE,group C,high school,standard,none,75,90,78,1230,,2023,16.0
MALE,group B,some college,standard,none,81,75,70,1231,,2023,16.0
MALE,group C,some college,free/reduced,none,35,44,33,1232,,2023,17.0
MALE,group C,some college,standard,none,76,74,72,1233,,2023,17.0
FEMALE,group B,bachelor's degree,standard,none,58,79,100,1234,,2023,17.0
MALE,group C,associate's degree,standard,completed,100,91,100,1235,,2023,16.0
FEMALE,group C,bachelor's degree,standard,none,53,68,64,1236,,2023,17.0
FEMALE,group D,high school,standard,none,82,95,100,1237,,2023,16.0
MALE,group B,associate's degree,standard,none,76,62,64,1238,,2023,15.0
MALE,group C,bachelor's degree,standard,completed,83,75,75,1239,,2023,17.0
FEMALE,group D,some college,standard,none,72,84,100,1240,,2023,15.0
MALE,group D,associate's degree,standard,completed,76,76,100,1241,,2023,14.0
MALE,group D,some high school,standard,none,66,32,58,1242,,2023,14.0
MALE,group C,some college,standard,none,63,65,63,1243,,2023,15.0
MALE,group B,some high school,standard,none,36,17,28,1244,,2023,16.0
MALE,group C,high school,standard,none,68,74,71,1245,,2023,16.0
FEMALE,group C,some high school,free/reduced,completed,40,52,42,1246,,2023,14.0
MALE,group D,some high school,standard,none,68,35,61,1247,,1990,14.0
MALE,group C,associate's degree,standard,completed,56,54,52,1248,,2023,14.0
FEMALE,group D,associate's degree,free/reduced,none,74,83,80,1249,,2023,16.0
FEMALE,group D,some college,free/reduced,none,53,70,71,1250,,2023,17.0
MALE,group B,some high school,standard,none,88,32,70,1251,,2023,14.0
MALE,group D,some high school,standard,none,67,31,61,1252,,2023,15.0
FEMALE,group B,associate's degree,standard,none,60,76,65,1253,,2023,17.0
FEMALE,group C,high school,free/reduced,none,51,61,54,1254,,2023,17.0
FEMALE,group D,some high school,standard,none,53,33,59,1255,,2023,14.0
MALE,group A,bachelor's degree,standard,none,80,78,74,1256,,2023,14.0
FEMALE,group E,some high school,standard,none,69,35,67,1257,,2023,14.0
FEMALE,group B,some high school,free/reduced,none,64,39,70,1258,,2023,
FEMALE,group D,associate's degree,free/reduced,completed,80,87,100,1259,,2023,14.0
FEMALE,group A,some high school,standard,none,58,36,62,1260,,2023,16.0
FEMALE,group C,high school,standard,none,39,46,50,1261,,2023,14.0
MALE,group D,some high school,standard,none,64,28,50,1262,,2023,14.0
MALE,group D,associate's degree,standard,none,61,66,63,1263,,2023,15.0
MALE,group D,some high school,standard,completed,90,82,100,1264,,2023,14.0
MALE,group D,some high school,standard,none,73,35,64,1265,,2023,17.0
MALE,group C,associate's degree,standard,none,73,73,70,1266,,2023,15.0
FEMALE,group D,associate's degree,standard,none,67,76,77,1267,,2023,14.0
FEMALE,group B,some college,standard,none,57,58,62,1268,,2023,16.0
FEMALE,group E,some college,standard,none,65,73,72,1269,,2023,16.0
FEMALE,group C,some high school,standard,none,71,36,71,1270,,2023,17.0
FEMALE,group D,some high school,standard,none,59,34,72,1271,,2023,17.0
MALE,group B,high school,standard,completed,74,71,65,1272,,2023,17.0
FEMALE,group E,high school,standard,none,93,100,100,1273,,2023,17.0
FEMALE,group B,some high school,standard,completed,85,93,100,1274,,1990,17.0
FEMALE,group E,some high school,standard,none,76,41,79,1275,,2023,16.0
FEMALE,group D,high school,free/reduced,none,58,72,70,1276,,2023,17.0
FEMALE,group E,associate's degree,standard,none,72,77,77,1277,,2023,17.0
FEMALE,group B,high school,standard,none,40,49,47,1278,,2023,17.0
MALE,group D,high school,standard,completed,75,73,66,1279,,2023,17.0
MALE,group D,some high school,standard,none,85,40,80,1280,,2023,16.0
MALE,group E,associate's degree,standard,completed,100,100,100,1281,,2023,15.0
FEMALE,group B,some college,free/reduced,completed,53,65,66,1282,,2023,17.0
MALE,group D,some college,free/reduced,none,40,42,39,1283,,2023,
MALE,group B,bachelor's degree,free/reduced,none,49,49,49,1284,,1990,
MALE,group C,associate's degree,standard,none,77,80,80,1285,,2023,16.0
FEMALE,group D,high school,standard,none,82,89,100,1286,,2023,16.0
MALE,group C,some college,standard,none,55,48,42,1287,,2023,14.0
FEMALE,group C,some high school,free/reduced,none,62,35,77,1288,,1990,16.0
MALE,group B,high school,standard,completed,69,63,59,1289,,2023,15.0
MALE,group C,associate's degree,standard,none,78,74,76,1290,,2023,16.0
FEMALE,group B,high school,free/reduced,completed,71,77,100,1291,,2023,14.0
MALE,group D,some college,free/reduced,completed,59,71,66,1292,,2023,15.0
FEMALE,group D,high school,free/reduced,none,60,75,70,1293,,2023,17.0
FEMALE,group C,bachelor's degree,free/reduced,completed,43,60,60,1294,,2023,16.0
FEMALE,group C,some high school,standard,none,77,41,100,1295,,2023,15.0
MALE,group D,some high school,free/reduced,none,50,23,46,1296,,2023,16.0
FEMALE,group E,bachelor's degree,free/reduced,none,56,58,52,1297,,2023,
MALE,group B,high school,standard,none,69,58,50,1298,,2023,14.0
MALE,group D,high school,standard,none,47,43,39,1299,,2023,15.0
male,group B,some college,free/reduced,none,43,28,24,1300,,2023,17.0
male,group A,some high school,free/reduced,none,48,19,40,1301,,2023,16.0
male,group C,high school,free/reduced,none,55,62,49,1302,,2023,15.0
male,group C,some college,standard,none,73,68,66,1303,,2023,14.0
male,group D,bachelor's degree,standard,none,71,63,66,1304,,2023,16.0
female,group B,some college,standard,none,54,57,60,1305,,2023,15.0
male,group C,high school,standard,none,66,61,63,1306,,2023,15.0
male,group A,master's degree,standard,none,63,63,67,1307,,2023,14.0
female,group D,bachelor's degree,standard,none,66,81,73,1308,,2023,16.0
male,group C,bachelor's degree,standard,completed,79,80,75,1309,,2023,14.0
male,group D,associate's degree,free/reduced,completed,73,69,70,1310,,2023,14.0
female,group C,some high school,standard,none,36,28,53,1311,,2023,16.0
male,group C,associate's degree,free/reduced,none,50,48,43,1312,,2023,17.0
male,group E,some college,standard,completed,87,78,80,1313,,2023,15.0
male,group C,associate's degree,standard,none,71,68,63,1314,,2023,15.0
female,group C,associate's degree,standard,completed,85,87,100,1315,,2023,
female,group C,high school,standard,completed,58,67,64,1316,,2023,
male,group C,some college,standard,none,86,83,100,1317,,2023,15.0
female,group D,some high school,free/reduced,none,64,43,100,1318,,2023,15.0
male,group D,some college,standard,none,83,85,79,1319,,2023,16.0
male,group E,high school,free/reduced,completed,58,56,49,1320,,2023,16.0
female,group C,some college,free/reduced,completed,59,83,100,1321,,2023,
female,group C,high school,standard,none,40,58,54,1322,,2023,14.0
male,group D,associate's degree,standard,completed,82,83,100,1323,,2023,
male,group E,some high school,standard,none,87,42,80,1324,,2023,16.0
female,group C,some high school,standard,none,62,32,64,1325,,2023,16.0
male,group B,associate's degree,free/reduced,completed,76,80,78,1326,,2023,15.0
female,group A,high school,standard,none,63,69,60,1327,,2023,15.0
male,group D,some college,free/reduced,completed,58,60,59,1328,,2023,14.0
male,group D,associate's degree,standard,completed,61,63,65,1329,,2023,17.0
male,group C,some college,standard,none,78,69,71,1330,,2023,14.0
female,group C,bachelor's degree,free/reduced,completed,78,90,100,1331,,2023,
male,group C,some college,standard,none,56,54,43,1332,,2023,14.0
male,group D,some high school,standard,none,96,41,100,1333,,2023,14.0
male,group C,high school,standard,none,48,43,40,1334,,2023,17.0
male,group C,associate's degree,standard,completed,70,76,72,1335,,2023,15.0
male,group D,some college,free/reduced,none,43,68,58,1336,,2023,14.0
female,group E,high school,free/reduced,none,45,46,49,1337,,1990,15.0
female,group C,associate's degree,standard,none,58,68,62,1338,,2023,14.0
female,group A,high school,standard,completed,70,73,80,1339,,2023,15.0
female,group E,some high school,standard,none,60,30,58,1340,,2023,17.0
male,group C,some high school,free/reduced,none,52,26,47,1341,,2023,16.0
male,group C,associate's degree,free/reduced,none,61,62,54,1342,,2023,15.0
female,group D,some high school,standard,none,55,35,61,1343,,2023,17.0
male,group B,high school,standard,completed,80,80,79,1344,,2023,15.0
male,group D,some college,free/reduced,none,63,60,54,1345,,2023,16.0
female,group B,master's degree,standard,none,79,79,100,1346,,1990,17.0
male,group A,associate's degree,standard,none,74,78,72,1347,,2023,17.0
female,group B,some college,free/reduced,completed,46,58,64,1348,,2023,16.0
female,group B,some high school,standard,completed,72,88,100,1349,,2023,14.0
female,group E,some high school,free/reduced,none,58,32,64,1350,,2023,
female,group E,master's degree,standard,none,47,50,47,1351,,2023,15.0
female,group D,bachelor's degree,standard,completed,68,78,100,1352,,2023,17.0
male,group D,bachelor's degree,free/reduced,completed,68,71,67,1353,,2023,16.0
female,group D,high school,standard,none,65,75,68,1354,,2023,14.0
female,group B,associate's degree,standard,none,50,54,51,1355,,2023,
female,group B,high school,free/reduced,completed,48,71,68,1356,,2023,15.0
female,group B,bachelor's degree,standard,none,58,60,64,1357,,2023,17.0
male,group C,some high school,free/reduced,completed,71,74,68,1358,,2023,
male,group D,some high school,free/reduced,completed,58,52,48,1359,,2023,14.0
female,group A,some college,free/reduced,none,66,90,100,1360,,2023,14.0
male,group C,some college,free/reduced,none,44,53,43,1361,,2023,15.0
female,group B,some high school,standard,completed,51,63,66,1362,,2023,16.0
male,group A,some college,standard,completed,78,83,77,1363,,2023,15.0
male,group C,high school,standard,none,72,71,65,1364,,2023,16.0
female,group D,associate's degree,standard,none,60,64,67,1365,,2023,16.0
female,group C,associate's degree,free/reduced,none,55,61,60,1366,,2023,15.0
male,group B,some high school,standard,none,64,33,64,1367,,2023,16.0
female,group C,some high school,free/reduced,none,57,32,60,1368,,2023,17.0
female,group A,high school,standard,none,70,75,74,1369,,2023,17.0
male,group D,some high school,standard,completed,84,72,76,1370,,2023,14.0
female,group B,some college,standard,completed,66,71,76,1371,,2023,16.0
female,group C,bachelor's degree,free/reduced,completed,56,65,73,1372,,1990,16.0
male,group E,some college,free/reduced,completed,59,53,56,1373,,2023,14.0
female,group E,bachelor's degree,standard,none,87,89,100,1374,,2023,14.0
male,group E,high school,free/reduced,none,73,75,64,1375,,2023,17.0
female,group A,high school,standard,none,85,91,100,1376,,2023,17.0
male,group B,some college,free/reduced,none,49,54,42,1377,,2023,17.0
female,group C,bachelor's degree,standard,completed,82,87,100,1378,,2023,17.0
female,group D,some college,standard,none,80,90,100,1379,,2023,16.0
female,group E,high school,standard,none,48,51,43,1380,,2023,16.0
female,group D,high school,standard,completed,85,83,100,1381,,1990,14.0
female,group E,some high school,standard,completed,70,78,76,1382,,2023,15.0
male,group E,associate's degree,standard,completed,89,84,100,1383,,2023,15.0
female,group D,high school,standard,completed,72,86,79,1384,,2023,15.0
female,group D,some high school,free/reduced,none,80,43,100,1385,,1990,14.0
female,group D,some high school,free/reduced,none,43,28,50,1386,,2023,17.0
male,group C,some high school,free/reduced,completed,54,61,61,1387,,2023,17.0
male,group A,associate's degree,free/reduced,completed,82,82,78,1388,,1990,16.0
male,group C,bachelor's degree,free/reduced,none,74,80,78,1389,,2023,17.0
female,group C,some college,standard,none,63,62,64,1390,,2023,16.0
female,group C,high school,free/reduced,none,47,56,51,1391,,2023,17.0
female,group C,some college,free/reduced,none,13,29,23,1392,,2023,17.0
male,group D,some college,free/reduced,none,67,58,56,1393,,2023,17.0
male,group C,some high school,standard,none,57,29,54,1394,,2023,14.0
female,group B,some high school,standard,none,64,39,100,1395,,2023,15.0
female,group D,associate's degree,standard,none,85,100,100,1396,,2023,16.0
female,group B,associate's degree,standard,completed,70,80,100,1397,,1990,16.0
male,group B,bachelor's degree,standard,completed,90,73,100,1398,,2023,17.0
female,group A,some college,free/reduced,completed,53,70,69,1399,,2023,16.0
male,group C,some college,standard,completed,74,73,75,1400,,2023,16.0
male,group A,associate's degree,standard,completed,61,71,67,1401,,2023,16.0
female,group C,some high school,standard,completed,55,74,73,1402,,2023,14.0
female,group B,some college,standard,completed,65,63,66,1403,,2023,14.0
female,group A,high school,standard,none,77,77,79,1404,,2023,17.0
