Rank,Name,Age,End_Of_Watch,Day_Of_Week,Cause,Department,State,Tour,Badge,Weapon,Offender,Summary
Boatman,Ellis Drake,20.0,1808-08-03,Wednesday,Gunfire,"United States Department of the Treasury - United States Customs Service, U.S. Government",United States,,,Rifle,,"Boatman Ellis Drake and Boatman Asa Marsh were shot and killed along the Onion River (modern day Winooski River), in Vermont, while they and other Customs officers attempted to stop a ship that was smuggling illegal goods through Canada into the United States. A militia lieutenant and a militia captain were also wounded.Boatman Drake was aboard the cutter Fly when he was shot in the head by smugglers who were on land. Boatman Marsh had gone ashore when he was shot and killed by the smugglers.Eight suspects were indicted by a jury, but only four were in convicted: one was sentenced to death, reprieved and then executed; two were sentenced to 50 lashes and to stand for an hour in a pillory. The two that received lashes and another suspect were were sentenced to 10 years in prison and to pay court costs. All three suspects were pardoned by the state Governor between 1811 and 1815.The funerals of both officers were held at the Chittenden County Courthouse, Vermont."
Night Watchman,George Workner,,1808-03-15,Tuesday,Stabbed,"Baltimore City Police Department, Maryland",Maryland,,,Edged weapon; Knife,Executed in 1808,"Night Watchman Workner was stabbed to death during a jail break of nine inmates from the Baltimore Jail. The inmates had fashioned pewter keys and picked the locks to their cell doors. Then they attacked the guards with a small knife one of the inmates had obtained. Watchman Workner was stabbed in the side during the escape and died from the wound the following day.Four of the nine inmates were apprehended and sentenced to death for Watchman Workner's murder. Their execution date was set for April 22, 1808, but they again attempted to escape two days beforehand. That escape attempt failed and they were hung in the jail's courtyard at noon on April 22, 1808."
Deputy Sheriff,Ebenezer Parker,48.0,1808-01-18,Monday,Assault,"Cumberland County Sheriff's Office, Maine",Maine,,,Blunt object; Lumber,Executed in 1808,"Deputy Sheriff Ebenezer Parker succumbed to injuries sustained one week earlier when he was beaten over the head with a sleigh arm while attempting to serve a warrant.Deputy Parker had located the man, wanted for failing to pay a debt, in Westbrook. When Deputy Parker entered the location, a blacksmith shop at 916 Main Street, he was attacked by the owner of the shop and beaten. Deputy Parker went home and succumbed to injuries a week later. The man was convicted of Deputy Parker's murder and hanged in July 1808. The subject wanted for not paying debts was acquitted of accessory to murder. Deputy Parker was survived by his wife and two sons. At the time of Deputy Parker's murder, Maine had not yet been formed as a state, and Cumberland County was a part of Massachusetts. As of 2022, Deputy Parker is the first known fallen officer in New England History."
Boatman,Asa Marsh,,1808-08-03,Wednesday,Gunfire,"United States Department of the Treasury - United States Customs Service, U.S. Government",United States,,,Gun; Unknown type,,"Boatman Asa Marsh and Boatman Ellis Drake were shot and killed along the Onion River (modern day Winooski River), in Vermont while they and other Customs officers attempted to stop a ship that was smuggling illegal goods through Canada into the United States. A militia lieutenant and a militia captain were also wounded. Boatman Drake was aboard the cutter Fly when he was shot in the head by smugglers who were on land. Boatman Marsh had gone ashore when he was shot and killed by the smugglers.Eight suspects were indicted by a jury, but only four were in convicted: one was sentenced to death, reprieved and then executed; two were sentenced to 50 lashes and to stand for an hour in a pillory. The two that received lashes and another suspect were were sentenced to 10 years in prison and to pay court costs. All three suspects were pardoned by the state Governor between 1811 and 1815.The funerals of both officers were held at the Chittenden County Courthouse, Vermont."
Custom House Officer,Daniel Miller,,1810-01-01,Monday,Gunfire,"United States Department of the Treasury - United States Customs Service, U.S. Government",United States,,,Gun; Unknown type,,Customs House Officer Daniel Miller was shot and killed while making an arrest.Officer Miller was survived by his wife and five children.
Deputy Sheriff,John Tileston Downes,,1811-01-28,Monday,Gunfire,"Washington County Sheriff's Office, Maine",Maine,,,Gun; Unknown type,Executed,"Deputy Sheriff John Downes was shot and killed in Robinstown while arresting a suspected currency counterfeiter. As Deputy Downes attempted to place the suspect under arrest the man shot and killed him.The suspect was later executed by hanging for his crime.Deputy Downes was buried in St. Stephen, New Brunswick, Canada. In the summer of 2004, his grave was located and a ceremony was held honoring his sacrifice and service.At the time of Deputy Downes' murder, Maine had not yet been formed as a state, and Cumberland County was a part of Massachusetts."
Keeper,Thomas Hewlett,46.0,1814-12-02,Friday,Stabbed,"Vermont Department of Corrections, Vermont",Vermont,,,Edged weapon; Knife,Executed in 1818,"Keeper Thomas Hewlett succumbed to stab wounds sustained on November 5th, 1814, at the Vermont State Prison in Windsor.A prisoner had become upset for being reprimanded for a statement he made in the weaving shop and began causing a disturbance. Keeper Hewlett attempted to listen to the man's grievances but the prisoner remained upset. He grabbed a cobbler's knife and the leg of a table and attacked Keeper Hewlett, inflicting a stab wound in his torso before being subdued.Keeper Hewlett's conditioned continued to worsen and he died of his wounds on December 2nd, 1814.The prisoner who stabbed him was found guilty of murder in three different trials. He was eventually executed on January 13th, 1818."
Customs Inspector,John Stout,33.0,1814-01-21,Friday,Gunfire,"United States Department of the Treasury - United States Customs Service, U.S. Government",United States,4 months,,Rifle,Pardoned,"Customs Inspector John Stout was shot and killed near Barataria, Louisiana, while attempting to arrest the notorious pirate Jean Lafitte during a slave auction.In December 1914 Lafitte's brother and many of his men were pardoned after agreeing to defend New Orleans and the Mississippi River from a British invasion during the ongoing War of 1812."
Sheriff,Caleb Hewitt,27.0,1816-09-09,Monday,Assault,"Davidson County Sheriff's Office, Tennessee",Tennessee,6 months,,Edged weapon; Axe,,"Sheriff Caleb Hewitt succumbed to wounds sustained four days earlier when he was struck over the head with an axe while attempting to serve a writ.Sheriff Hewitt had only served with the agency for 6 months."
Deputy Sheriff,William Huddleston,60.0,1818-10-09,Friday,Assault,"Schoharie County Sheriff's Department, New York",New York,2 years,,Blunt object,Executed in 1819,"Deputy Huddleston was killed when he went to a residence to serve papers and collect a fine. The occupant of the residence beat Deputy Huddleston to death with a wooden stake, then buried his body in a shallow grave. The suspect buried Deputy Huddleston on his farm and then fled to Canada on Deputy Huddleston's horse. He was returned to New York where he was convicted of Deputy Huddleston's murder and hung on March 19, 1819. Deputy Huddleston had been with the Schoharie County Sheriff's Department for two years. He was survived by his wife."
Constable,Elijah Chenault,,1823-08-04,Monday,Assault,"Alexandria Police Department, Virginia",Virginia,25 years,,Blunt object,Sentenced to 1 year,"Constable Chenault was killed when he was struck over the head with a stick while attempting to seize property from a woman who had failed to pay a debt. A struggle ensued during which the woman struck him over the head, causing a fatal wound.The suspect was convicted of manslaughter and sentenced to one year in jail and fined $85. The fine was later dismissed by President James Monroe after she served her jail term.Constable Chenault had served as a constable for Alexandria off and on for over 25 years. He was survived by his wife and several children."
Constable,"Jacob Dearduff, Sr.",,1823-02-22,Saturday,Stabbed,"Jamestown Police Department, Ohio",Ohio,,,Edged weapon; Knife,Spent life in prison,"Constable Dearduff died from a stab wound he received when he attempted to arrest a suspect.  Constable Dearduff and another Constable were attempting to arrest a suspect, when the suspect pulled out a knife and stabbed Constable Dearduff between the ribs.  The other Constable shot and wounded the suspect.  Constable Dearduff died the next day from his wound.  The suspect was convicted of murder and spend the rest of his life in prison.Constable Dearduff was survived by his wife."
Constable,Robert Murphy,24.0,1824-11-11,Thursday,Stabbed,"Franklin County Sheriff's Department, Indiana",Indiana,1 week,,Edged weapon; Knife,Pardoned in 1825,"Constable Robert Murphy died eight days after being stabbed while attempting to serve a warrant in Bath Township.The subject of the warrant was a 75-year-old man who was wanted for assaulting a female neighbor. When Constable Murphy first spoke to the man, the subject refused to accompany him and instead said he would appear the next morning.Constable Murphy left the cabin but later returned to take the man into custody. He was met on the doorstep by the man who had pulled a butcher knife which he had hidden between logs in the wall. The man thrust the knife into the left side of Constable Murphy, who succumbed to his wound eight days later.The suspect was convicted of first-degree murder and sentenced to death. On May 27, 1825, as he stood on the gallows, the governor arrived by horseback from Indianapolis to grant him a pardon.Constable Murphy had only recently been appointed as a constable by the county. He was survived by his five brothers, three sisters, parents and paternal grandparents.Constable Murphy is the first known law enforcement officer killed in the line of duty in the state of Indiana."
Constable,William Davidson,56.0,1825-04-14,Thursday,Gunfire,"Pennsylvania State Constable - Venango County, Pennsylvania",Pennsylvania,,,Rifle,Arrested,"Constable William Davidson was shot and killed while en route to serve a warrant on a man at his home on in Scrubgrass Township, Venango County.While en route to the man's home he encountered a second man near the mouth of Big Scrubgrass Creek. The man was also en route to the home, but with the intent to kill the man named on the warrant. The man opened fire on Constable Davidson when the constable ordered him to drop the rifle he was carrying.The subject was found not guilty by reason of insanity.Constable Davidson was survived by his wife and nine children."
Watch Officer,Jonathan Houghton,61.0,1825-12-19,Monday,Assault,"Boston Watch, Massachusetts",Massachusetts,,,Edged weapon; Axe,Executed,Watch Officer Jonathan Houghton succumbed to wounds received while on duty one week earlier when he was attacked by a man with an ax while patrolling Broad Street in the area of State Street.It is not known what provoked the attack.  Watch Officer Houghton was struck above his hip and died of his wounds seven days later. The man was convicted and hung in March 1826.Watch Officer Houghton was survived by his wife and 15 children. His widow received a pension of one year's wages.
Watchman,Gerrard Arnold,,1827-09-09,Sunday,Assault,"Alexandria Police Department, Virginia",Virginia,12 years,,Person,,"Watchman Arnold succumbed to injuries sustained 10 days earlier when he was beaten by man seeking revenge against him. It is believed the assault occurred in a shoemaker's shop on Commerce Street.In 1827, Watchman Gerrard Arnold was attempting to make an arrest at a home along the waterfront. As he approached the house, he encountered a woman trying to enter the same residence. He shoved her aside so that he could enter and continue with his lawful duties. The woman was outraged by this treatment and told her husband how the watchman had treated her. Watchman Arnold later apologized to the man for offending his wife.However the man became drunk and retaliated against Watchman Arnold. On August 30, 1827, the man found Watchman Arnold in a business and brutally attacked him, beating and kicking him. Watchman Arnold was critically wounded and succumbed to his injuries on September 9, 1827.The killer fled from Alexandria and President John Quincy Adams issued a proclamation offering a $250 reward for his capture. In October, he was captured in Ohio and returned to Alexandria. In November, he was tried for murder and convicted of manslaughter. His sentence is not known but he was fined $300.Watchman Arnold, a widower, was survived by his children. His final resting place is unknown. He had served with the Alexandria Police Department for 12 years."
Watchman,Steven Heimer,,1828-01-08,Tuesday,Gunfire,"Philadelphia Police Department, Pennsylvania",Pennsylvania,,,Gun; Unknown type,,Watchman Steven Heimer was shot and killed at the intersection of 3rd Street and George Street at the beginning of a riot.
Watchman,Robert McGuffin,40.0,1828-08-12,Tuesday,Assault,"Philadelphia Police Department, Pennsylvania",Pennsylvania,,,Blunt object; Rock,,"Watchman Robert McGuffin succumbed to injuries sustained the previous day when he was struck in the head while trying to quell a riot near the intersection of North Third Street near George Street.Fellow officers had arrested a man in a home for disorderly conduct when a crowd formed around them and started to toss objects at them. The officers requested assistance and when officers arrived Watchman McGuffin was struck in the head with a cobblestone, fracturing his skull. He was taken to his home where he was treated by doctors and succumbed to his injuries the next day.Another officer with Watchman McGuffin was shot in the head at the scene of the riot but the wound was not serious. The scene of the riot was quelled when the military was called upon.Watchman McGuffin was attached to the Northern Liberties Division and was survived by his wife, and three children."
Constable,Silas Goree,43.0,1829-01-01,Thursday,Stabbed,"Montgomery County Constable's Office, Alabama",Alabama,,,Edged weapon; Knife,Executed in 1832,"Constable Silas Goree was stabbed to death on New Year's Day in retaliation for having served several writs against the man who attacked him.He was standing in front of the courthouse, near the Artesian Basin, when the man walked up to him and stabbed him in the chest without warning. The man ran from the scene but was chased by several citizens and captured. He was convicted of Constable Goree's murder and executed by hanging on January 27th, 1832.Constable Goree was survived by his wife and one child."
Sheriff,Thomas Griffin Thornton,,1830-06-12,Saturday,Gunfire,"Caroline County Sheriff's Office, Virginia",Virginia,,,Gun; Unknown type,Executed,"Sheriff Thomas Thornton was shot and killed while attempting to serve a writ on a man.The man was apprehended, convicted of Sheriff Thornton's murder, and subsequently hung on November 26th, 1830."
Town Sergeant,John Smith,83.0,1832-06-21,Thursday,Assault,"Foster Police Department, Rhode Island",Rhode Island,40 years,,Edged weapon; Axe,Executed,"Town Sergeant John Smith was killed as he attempted to arrest a man who was wanted by Connecticut authorities for being a debtor. The Connecticut authorities had tracked the man into Rhode Island, where he had taunted and threatened them with a weapon. Rhode Island authorities swore out a warrant for the man on the charge that he threatened the officers, and Town Sergeant Smith and a small posse went to enforce the warrant. When Town Sergeant Smith approached the wanted man, however, the man attacked him with an ax. The man struck Town Sergeant Smith between the shoulder blades, killing him, and then struck him again in the back of the neck.The assailant then attacked the posse and fled the scene. He was later arrested at the house of a local resident after he bragged about his crime.The assailant was tried and convicted of killing Town Sergeant Smith. He was sentenced to death and hanged on December 27, 1833.Town Sergeant Smith was around 83 years old at the time of his death. He had served as the Town Sergeant of Foster for over 40 years, and also acted as a deputy sheriff. He was survived by his wife and two children."
Guard,Ezra Hoskins,66.0,1833-05-01,Wednesday,Assault,"Connecticut Department of Correction, Connecticut",Connecticut,,,Blunt object,Executed,"Guard Ezra Hoskins was killed as he confronted four inmates who were attempting to escape from Wethersfield State Prison. On the night of April 30, an inmate managed to bore through the lock of his cell with a dinner utensil and to free another inmate who had fashioned a skeleton key for the prison. The inmates unlocked the cell doors of two other prisoners and followed Guard Hoskins on his rounds. They then concocted a ruse to murder him so that they could continue with their escape.At midnight, one of the inmates circled the walkway between cells and appeared suddenly in front of Guard Hoskins, who could not hear his movements due to deafness. As Guard Hoskins approached him and asked him what he was doing out of his cell, another inmate attacked Guard Hoskins from behind, hitting him on the head with an iron bar. The inmates then beat Guard Hoskins until they ascertained that he was dead and attempted to flee the prison through a door near the women's cell block. However, a female inmate noticed them out of their cells and alerted the matron, who quickly sounded an alarm. All four inmates were recaptured before they could leave the prison.The two inmates who were directly responsible for Guard Hoskins murder were sentenced to death and hanged on September 6, 1833.Guard Hoskins was 66 years old at the time of his death. He was preceded in death by his wife and is buried in Wethersfield Village Cemetery, Weathersfield, Hartford County, Connecticut."
Constable,Moore C. Wisdom,25.0,1834-08-30,Saturday,Stabbed,"Purdy Constable's Office, Tennessee",Tennessee,,,Edged weapon; Knife,Charged with murder,"Constable Moore Wisdom was stabbed to death by a prisoner he was escorting to the town jail.A citizen had obtained a warrant the man for engaging in an illegal game of slight of hand involving a thimble and a ball. Constable Moore located the the subject three miles north of town and the two road back to town on Constable Moore's horse.As they arrived at the jail the subject suddenly produced a long knife and stabbed Constable Wisdom several times, inflicting fatal wounds. The man was charged with murder and an accomplice was charged as an accessory to murder for having given him the knife.Constable Wisdom was survived by his parents and several siblings."
Sheriff,William Gresham,31.0,1834-01-23,Thursday,Gunfire,"Harrison County Sheriff's Department, Indiana",Indiana,1 year,,Gun; Unknown type,Pardoned in 1840,"Sheriff William Gresham was shot while attempting to serve an arrest warrant upon a subject.The subject had become enraged and disorderly after learning a whipping had been administered to his younger brother by a local school teacher in Blue River Township. When a local constable was unable to serve an arrest warrant that had been issued, Sheriff Gresham was summoned. While attempting to take the young man into custody, Sheriff Gresham was shot and died immediately.The suspect was arrested and convicted of manslaughter. In April 1835, he was sentenced to 21 years in prison and fined $1,000. The governor pardoned him in 1840 and remitted the fine.Sheriff Gresham had served with the Harrison County Sheriff's Department for one year and was in his first term as sheriff. He was survived by his wife, three sons, two daughters and by his mother. He is buried in the Lanesville Protestant Cemetery in Lanesville, Indiana."
Deputy Sheriff,George Hammond,,1836-04-28,Thursday,Stabbed,"St. Louis County Sheriff's Office, Missouri",Missouri,,,Edged weapon; Knife,Killed by citizens,Deputy Hammond and Constable William Mull were stabbed to death by a prisoner they were escorting to jail. The suspect was tied to a tree by citizens and burned to death.
Watchman,Kim Hudson,43.0,1836-08-28,Sunday,Stabbed,"New York City Night Watch, New York",New York,3 years,,Edged weapon; Knife,Two suspects arrested,Watchman Kim Hudson was stabbed to death when he attempted to break up a dispute and restore order near the intersection of Pine Street and Front Street.The subject were apprehended by a Customs House watchman while still holding the bloody knife. The subject was convicted of manslaughter.Watchman Hudson had served with the New York City Watch for three years. He was survived by his wife and four children.
Watchman,Luciese Lewis Leuba,25.0,1836-04-13,Wednesday,Stabbed,"New York City Night Watch, New York",New York,,,Edged weapon; Dirk,Acquitted at trial,"Watchman L. Lewis Leuba died of injuries he received two days earlier when he was stabbed while making an arrest.Watchman Leuba, and approximately 12 other watchmen went to 42 Bowery, Manhattan, to arrest five males on a warrant.  The men resisted and while Watchman Leuba and another watchman were struggling with one suspect, a second suspect stabbed Watchman Leuba in the back with a dirk. Watchman Leuba died two days later from the wound.Both suspects were arrested and charged with murder.  The suspect who stabbed Watchman Leuba was indicted for murder but later acquitted at trial.Watchman Leuba was survived by his wife and four children."
Constable,William Mull,,1836-04-28,Thursday,Stabbed,"St. Louis Metropolitan Police Department, Missouri",Missouri,,,Edged weapon; Knife,Killed by citizens,Constable William Mull and Deputy Sheriff George Hammond were stabbed to death by a prisoner they were escorting to jail.The suspect was tied to a tree by citizens and burned to death.
Second Lieutenant,Alfred H. Miles,,1837-11-10,Friday,Assault,"Texas Rangers, Texas",Texas,,,Edged weapon; Bow and arrow,,"An eighteen man company of Texas Rangers were trailing a band of about 150 Indians driving a herd of stolen horses. First Lieutenant A. B. Vanbenthuysen, Second Lieutenant Alfred H. Miles and 16 ranger privates reached a rock formation in the hills near the headwaters of the West Fork of the Trinity River that was known by the Indians as the “Stone Houses.” The Indians on horseback charged the rangers who sought protection in a ravine. About 50-60 of the Indians were armed with rifles and the rest with bows and arrows. The combat was at close range and many Indians were killed along with Privates Joseph Cooper, Alexander Bostwick, Dr. William Sanders and William Nicholson.    The Indians set the prairie grass on fire and charged the 14 remaining rangers. Lt. Vanbenthuysen decided the only escape was through an open prairie. The rangers left on foot because their horses refused to go through the smoke. Second Lieutenant Alfred H. Miles and Privates Lewis F. Scheuster, James Joslen, James Christian, Jesse Blair and Westley Nicholson were killed while trying to escape the burning field. Only eight rangers escaped, and three of them were wounded. The rangers reported to have killed about 50 Indians. Without horses, food or provisions, the men walked for 17 days through the wilderness to a settlement.Miles was a veteran of the Battle of San Jacinto in 1836 and was involved in the capture of Mexican General Antonio Lopez de Santa Anna. Christian and Sanders were also veterans of the ranger service. Nothing is known about the other men. The Texas Historical Commission has placed a marker at the site of the Battle of the Stone Houses recognizing the sacrifice of these early day Texas Rangers. The rock formation is located about 10 miles south of Windthorst on Highway 61 in present day Archer County."
Private,Westley Nicholson,,1837-11-10,Friday,Assault,"Texas Rangers, Texas",Texas,,,Edged weapon; Bow and arrow,,"An eighteen man company of Texas Rangers were trailing a band of about 150 Indians driving a herd of stolen horses. First Lieutenant A. B. Vanbenthuysen, Second Lieutenant Alfred H. Miles and 16 ranger privates reached a rock formation in the hills near the headwaters of the West Fork of the Trinity River that was known by the Indians as the “Stone Houses.” The Indians on horseback charged the rangers who sought protection in a ravine. About 50-60 of the Indians were armed with rifles and the rest with bows and arrows. The combat was at close range and many Indians were killed along with Privates Joseph Cooper, Alexander Bostwick, Dr. William Sanders and William Nicholson.    The Indians set the prairie grass on fire and charged the 14 remaining rangers. Lt. Vanbenthuysen decided the only escape was through an open prairie. The rangers left on foot because their horses refused to go through the smoke. Second Lieutenant Alfred H. Miles and Privates Lewis F. Scheuster, James Joslen, James Christian, Jesse Blair and Westley Nicholson were killed while trying to escape the burning field. Only eight rangers escaped, and three of them were wounded. The rangers reported to have killed about 50 Indians. Without horses, food or provisions, the men walked for 17 days through the wilderness to a settlement.Miles was a veteran of the Battle of San Jacinto in 1836 and was involved in the capture of Mexican General Antonio Lopez de Santa Anna. Christian and Sanders were also veterans of the ranger service. Nothing is known about the other men. The Texas Historical Commission has placed a marker at the site of the Battle of the Stone Houses recognizing the sacrifice of these early day Texas Rangers. The rock formation is located about 10 miles south of Windthorst on Highway 61 in present day Archer County."
Private,Jesse Blair,,1837-11-10,Friday,Assault,"Texas Rangers, Texas",Texas,,,Edged weapon; Bow and arrow,,"An eighteen man company of Texas Rangers were trailing a band of about 150 Indians driving a herd of stolen horses. First Lieutenant A. B. Vanbenthuysen, Second Lieutenant Alfred H. Miles and 16 ranger privates reached a rock formation in the hills near the headwaters of the West Fork of the Trinity River that was known by the Indians as the “Stone Houses.” The Indians on horseback charged the rangers who sought protection in a ravine. About 50-60 of the Indians were armed with rifles and the rest with bows and arrows. The combat was at close range and many Indians were killed along with Privates Joseph Cooper, Alexander Bostwick, Dr. William Sanders and William Nicholson.    The Indians set the prairie grass on fire and charged the 14 remaining rangers. Lt. Vanbenthuysen decided the only escape was through an open prairie. The rangers left on foot because their horses refused to go through the smoke. Second Lieutenant Alfred H. Miles and Privates Lewis F. Scheuster, James Joslen, James Christian, Jesse Blair and Westley Nicholson were killed while trying to escape the burning field. Only eight rangers escaped, and three of them were wounded. The rangers reported to have killed about 50 Indians. Without horses, food or provisions, the men walked for 17 days through the wilderness to a settlement.Miles was a veteran of the Battle of San Jacinto in 1836 and was involved in the capture of Mexican General Antonio Lopez de Santa Anna. Christian and Sanders were also veterans of the ranger service. Nothing is known about the other men. The Texas Historical Commission has placed a marker at the site of the Battle of the Stone Houses recognizing the sacrifice of these early day Texas Rangers. The rock formation is located about 10 miles south of Windthorst on Highway 61 in present day Archer County."
Private,David Clark,40.0,1837-01-07,Saturday,Gunfire,"Texas Rangers, Texas",Texas,6 months,,Rifle,,"In late 1836, the Republic of Texas ordered the creation of three ranging companies to protect the inhabitants living on the frontier from marauding Indians. Company B of the Texas Rangers under the command of Captain Thomas H. Barron was stationed at Fort Milam near present days Falls County. A scout reported Indian tracks about 12 miles from the fort. Sergeant George B. Erath led 10 rangers and three civilian volunteers who located the Indians camped on high ground at a bend of Elm Creek, not far from present day Rosebud, in Cameron County. As daylight approached on January 7, the rangers left their horses tied and crept to within rifle range of the Indian camp. Erath counted about 100 Indians. When a camp dog wandered toward the rangers, Erath decided to attack. The initial shots killed or wounded several Indians, but the Indians soon discovered they had numerical superiority and moved to out flank the rangers. Private David Clark and volunteer Frank Childers were wounded. During the battle Sergeants Erath and McLochlan found the wounded Clark. McLochlan’s gun was broken and Clark offered him his gun. McLochlan refused and ran up the gully towards the other rangers. Erath stayed a little longer with Clark who was then sinking, but he left as he saw a dozen Indians approaching. When the rangers returned later they found that Clark had been scalped and his hands cut off. The body of Childers was found sitting against a tree, dead from a gunshot wound. This incident was known as the “Fight at Elm Creek.”David Clark enlisted in Colonel Burleson’s Ranging Corps of Mounted Riflemen, serving in Captain Hill’s company, on July 3, 1836 and served until September 11, 1836 when he transferred to Captain Barron’s Company B. Clark was reportedly from Lincoln County, Missouri, son of Captain Christopher Clark. Erath described Clark as an “elderly man.”Private Clark was survived by his wife and son."
